Word,Form,Rank
の,の,1
は,は,2
に,に,3
を,を,4
が,が,5
と,と,6
で,で,7
も,も,8
だ,だ,9
から,から,10
か,か,11
する,する,12
よ,よ,13
な,な,14
です,です,15
こと,こと,16
なる,なる,17
ある,ある,18
ね,ね,19
それ,それ,20
んだ,んだ,21
って,って,22
ん,ん,23
この,この,24
その,その,25
言う,いう,26
さん,さん,27
でも,でも,28
私,わたし,29
そう,そう,30
には,には,31
思う,おもう,32
ない,ない,33
いい,いい,34
これ,これ,35
だった,だった,36
だけ,だけ,37
もう,もう,38
そんな,そんな,39
けど,けど,40
見る,みる,41
じゃない,じゃない,42
まで,まで,43
いる,いる,44
し,し,45
ここ,ここ,46
だから,だから,47
お,お,48
俺,おれ,49
だろう,だろう,50
なら,なら,51
今,いま,52
どう,どう,53
やる,やる,54
行く,いく,55
はい,はい,56
や,や,57
あの,あの,58
へ,へ,59
できる,できる,60
もの,もの,61
あ,あ,62
聞く,きく,63
来る,くる,64
人,ひと,65
んです,んです,66
知る,しる,67
こんな,こんな,68
では,では,69
なんて,なんて,70
ちょっと,ちょっと,71
自分,じぶん,72
前,まえ,73
また,また,74
という,という,75
いや,いや,76
まだ,まだ,77
ですか,ですか,78
うん,うん,79
待つ,まつ,80
出る,でる,81
とは,とは,82
だって,だって,83
ように,ように,84
ぞ,ぞ,85
何,なん,86
なん,なん,87
のに,のに,88
何,なに,89
とか,とか,90
中,なか,91
ため,ため,92
ような,ような,93
今日,きょう,94
話,はなし,95
より,より,96
みたい,みたい,97
そこ,そこ,98
なんだ,なんだ,99
考える,かんがえる,100
大丈夫,だいじょうぶ,101
あれ,あれ,102
わ,わ,103
どこ,どこ,104
入る,はいる,105
え,え,106
かな,かな,107
お前,おまえ,108
持つ,もつ,109
何か,なにか,110
違う,ちがう,111
いう,いう,113
みんな,みんな,114
さ,さ,115
帰る,かえる,116
あなた,あなた,117
として,として,118
顔,かお,119
よく,よく,121
悪い,わるい,122
少し,すこし,123
たち,たち,124
一緒に,いっしょに,125
ただ,ただ,126
じゃあ,じゃあ,127
誰,だれ,128
しか,しか,129
同じ,おなじ,130
よい,よい,131
やめる,やめる,132
あと,あと,133
もっと,もっと,134
ので,ので,135
会う,あう,136
だろ,だろ,137
早く,はやく,138
ちゃん,ちゃん,139
本当,ほんとう,140
こっち,こっち,141
うち,うち,142
らしい,らしい,143
見える,みえる,144
ところ,ところ,145
そして,そして,146
そういう,そういう,147
好き,すき,148
出す,だす,149
よう,よう,150
やっぱり,やっぱり,151
行う,おこなう,152
使う,つかう,153
あっ,あっ,154
でしょう,でしょう,155
なの,なの,156
男,おとこ,157
ずっと,ずっと,158
だけど,だけど,159
わけ,わけ,160
手,て,161
方,ほう,162
まあ,まあ,163
戻る,もどる,164
すごい,すごい,165
して,して,167
よね,よね,168
おい,おい,169
時間,じかん,170
作る,つくる,171
ええ,ええ,172
死ぬ,しぬ,173
どうして,どうして,174
目,め,175
いつも,いつも,176
ほら,ほら,177
どんな,どんな,178
もん,もん,179
えっ,えっ,180
話す,はなす,181
ちゃんと,ちゃんと,182
つもり,つもり,183
人間,にんげん,184
である,である,185
ありがとう,ありがとう,186
呼ぶ,よぶ,187
かも,かも,188
声,こえ,189
よし,よし,190
僕,ぼく,191
終わる,おわる,193
ほど,ほど,194
次,つぎ,195
忘れる,わすれる,196
家,いえ,197
食べる,たべる,198
教える,おしえる,199
何も,なにも,200
あんた,あんた,201
ご,ご,202
頼む,たのむ,203
きっと,きっと,204
いない,いない,205
今度,こんど,206
仕事,しごと,207
なんで,なんで,208
年,ねん,209
心配,しんぱい,210
いく,いく,211
ごめん,ごめん,212
まま,まま,213
子,こ,214
しかし,しかし,215
気持ち,きもち,216
生きる,いきる,217
くらい,くらい,218
だが,だが,219
見せる,みせる,220
上,うえ,221
こう,こう,222
さっき,さっき,223
相手,あいて,224
どういう,どういう,225
かもしれない,かもしれない,226
誰か,だれか,227
全部,ぜんぶ,228
君,きみ,229
入れる,いれる,230
絶対,ぜったい,231
かける,かける,232
いつ,いつ,233
こちら,こちら,234
ではない,ではない,235
取る,とる,236
最後,さいご,237
強い,つよい,238
あんな,あんな,239
まさか,まさか,240
だったら,だったら,241
分かる,わかる,242
場所,ばしょ,243
日,ひ,244
逃げる,にげる,245
本当に,ほんとうに,246
気,き,247
ねえ,ねえ,248
女,おんな,249
必要,ひつよう,250
さあ,さあ,251
名前,なまえ,252
言葉,ことば,253
初めて,はじめて,254
いけない,いけない,255
無理,むり,256
大変,たいへん,257
彼女,かのじょ,258
こそ,こそ,259
続ける,つづける,260
はず,はず,261
ことになる,ことになる,262
すぐ,すぐ,263
動く,うごく,264
怖い,こわい,265
来てる,きてる,266
覚える,おぼえる,267
もし,もし,268
じゃ,じゃ,269
あいつ,あいつ,270
時,とき,271
世界,せかい,272
確か,たしか,273
頭,あたま,274
どうぞ,どうぞ,275
部屋,へや,276
なあ,なあ,277
意味,いみ,278
心,こころ,279
など,など,280
ばかり,ばかり,281
もちろん,もちろん,282
許す,ゆるす,283
なのに,なのに,284
そうか,そうか,285
ほしい,ほしい,286
ことがある,ことがある,287
どうした,どうした,288
力,ちから,289
助ける,たすける,290
やつ,やつ,291
買う,かう,292
くる,くる,293
決める,きめる,294
信じる,しんじる,295
昔,むかし,296
変わる,かわる,297
感じる,かんじる,298
なくなる,なくなる,299
言える,いえる,300
守る,まもる,301
最初,さいしょ,302
始める,はじめる,303
楽しい,たのしい,304
飲む,のむ,305
彼,かれ,306
別に,べつに,307
とこ,とこ,308
先生,せんせい,309
間,あいだ,310
書く,かく,311
者,もの,312
受ける,うける,313
すぐに,すぐに,314
以上,いじょう,315
起きる,おきる,316
つける,つける,317
体,からだ,318
こういう,こういう,319
こいつ,こいつ,320
置く,おく,321
笑う,わらう,323
寝る,ねる,324
変,へん,325
おかしい,おかしい,326
全然,ぜんぜん,327
実は,じつは,328
多い,おおい,329
それだけ,それだけ,330
大事,だいじ,331
問題,もんだい,332
誰も,だれも,333
にとって,にとって,334
ありがとうございます,ありがとうございます,335
見つける,みつける,336
夢,ゆめ,337
一番,いちばん,338
中,ちゅう,339
外,そと,340
元気,げんき,341
頑張る,がんばる,342
かかる,かかる,343
うーん,うーん,344
えー,えー,345
そろそろ,そろそろ,346
ください,ください,347
遅い,おそい,348
先に,さきに,349
聞こえる,きこえる,350
とにかく,とにかく,351
決まる,きまる,352
欲しい,ほしい,353
感じ,かんじ,354
残る,のこる,355
ほう,ほう,356
このまま,このまま,357
せい,せい,358
べき,べき,359
ごめんなさい,ごめんなさい,360
新しい,あたらしい,361
痛い,いたい,362
願う,ねがう,363
一度,いちど,364
昨日,きのう,365
もらう,もらう,366
姿,すがた,367
ぜ,ぜ,368
困る,こまる,369
黙る,だまる,370
しっかり,しっかり,371
それでも,それでも,372
送る,おくる,373
とき,とき,374
思い出す,おもいだす,375
君,くん,376
明日,あした,377
なるほど,なるほど,378
夜,よる,379
かい,かい,380
高い,たかい,381
について,について,382
理由,りゆう,383
乗る,のる,384
今まで,いままで,385
普通,ふつう,386
なぜ,なぜ,387
先,さき,388
関係,かんけい,389
長い,ながい,390
止める,とめる,391
返す,かえす,392
嫌,いや,393
ダメ,ダメ,394
最近,さいきん,395
伝える,つたえる,396
他,ほか,397
怒る,おこる,398
うまい,うまい,399
探す,さがす,400
私たち,わたしたち,401
殺す,ころす,403
どうしたの,どうしたの,404
向かう,むかう,406
連れる,つれる,407
約束,やくそく,408
開く,ひらく,409
歩く,あるく,410
口,くち,411
でしょうか,でしょうか,412
つまり,つまり,413
わよ,わよ,414
大きい,おおきい,415
ところで,ところで,416
音,おと,417
お願いします,おねがいします,418
必ず,かならず,419
離れる,はなれる,420
落ちる,おちる,421
簡単,かんたん,422
泣く,なく,423
つく,つく,424
ようになる,ようになる,425
結構,けっこう,426
にして,にして,427
早い,はやい,428
大きな,おおきな,429
続く,つづく,430
はあ,はあ,431
消える,きえる,432
急に,きゅうに,433
選ぶ,えらぶ,434
お願い,おねがい,435
開ける,あける,436
以外,いがい,437
気になる,きになる,438
どこか,どこか,439
バカ,バカ,440
